b4_1,1,32.89894060823083,gen
b0_2,0,62.69971205200792,b3_1
b4_2,2,86.72390079832466,b4_1
b2_3,3,95.36225124306266,b4_2
b0_4,4,127.04901524570883,b2_3
b2_5,5,135.5040138702267,b0_4
b2_6,6,139.07896315004567,b2_5
b2_7,7,192.42490724842105,b2_6
b4_9,8,200.9351276700324,b2_7
b2_9,9,254.57099272703954,b4_9
b2_10,10,270.76850736893294,b2_9
b0_11,11,290.5383458896201,b2_10
b2_12,12,291.6536612276952,b0_11
b2_13,13,342.8293764815985,b2_12
b0_14,14,363.11301491710816,b2_13
b0_15,15,382.1148828869971,b0_14
b4_17,16,398.0916550041321,b0_15
b0_17,17,429.5873686171747,b4_17
b0_18,18,469.3117058949285,b0_17
