b4_1,1,6.50303436298863,gen
b1_2,2,22.523479080952423,b4_1
b4_2,2,23.1370668118627,b4_1
b1_3,3,31.15932153326663,b1_2
b1_4,4,32.95151924697804,b1_3
b3_1,1,34.46347201954454,gen
b1_5,5,77.47367345290355,b1_4
b1_6,6,86.82087666473684,b1_5
b1_7,7,101.028510490295,b1_6
b3_2,2,114.38236383101902,b3_1
b1_8,8,126.65297188486026,b1_7
b4_3,3,128.94708132260251,b4_2
b3_3,3,144.2978213165295,b3_2
b4_4,4,168.84988622063088,b4_3
b3_4,4,171.74901182964453,b3_3
b3_5,5,171.7837174506135,b3_4
b1_9,9,174.68732926090036,b1_8
b4_6,6,188.72290862530767,b1_5
b1_10,10,188.80554064079507,b1_9
b1_11,11,197.19116656435963,b1_10
b1_12,12,199.92669078900553,b1_11
b3_6,6,205.87318103630693,b3_5
b3_7,7,218.2112515595644,b3_6
b1_13,13,221.72187720011758,b1_12
b0_1,1,233.12424366280112,gen
b1_14,14,267.8652690814797,b1_13
b1_15,15,285.4361960689784,b1_14
b1_16,16,289.2434411393167,b1_15
b0_2,2,299.43211917646045,b0_1
b1_17,17,302.2573994199896,b1_16
b3_8,8,306.28816061488124,b3_7
b3_9,9,317.2431015406481,b3_8
b2_1,1,317.7425248731661,gen
b0_3,3,329.6255897279775,b0_2
b1_18,18,335.48931607473855,b1_17
b1_19,19,344.88915970069274,b1_18
b3_10,10,353.2447748404171,b3_9
b1_20,20,372.2528738404459,b1_19
b2_2,2,388.20780937606276,b2_1
b1_21,21,392.4513512113195,b1_20
b1_22,22,394.5255112909353,b1_21
b3_11,11,395.7456169533545,b3_10
b1_23,23,421.7353071679516,b1_22
b1_24,24,431.80765223990625,b1_23
b1_25,25,438.7739516780054,b1_24
b1_26,26,444.0118556210054,b1_25
b1_27,27,447.35458744566984,b1_26
b1_28,28,476.45442149947655,b1_27
b1_29,29,486.1609250811456,b1_28
b4_12,12,488.88681413331085,b1_11
b0_6,4,493.8440128582172,b0_3
b1_30,30,494.6653112549124,b1_29
