b3_1,1,18.497010054657117,gen
b4_1,1,32.92589387594672,gen
b1_1,1,39.40180089430991,gen
b0_2,2,46.103477529283026,b3_1
b3_2,2,62.555796710292476,b3_1
b4_2,2,86.75070974868167,b4_1
b2_3,3,95.51045029192777,b4_2
b0_4,4,126.37265557824612,b2_3
b3_4,3,126.905745439091,b3_2
b3_5,4,129.63522491031344,b3_4
b2_5,5,135.64827689702315,b0_4
b2_6,6,139.2231690030222,b2_5
b2_7,7,192.57006561263194,b2_6
b4_9,8,200.96254396124883,b2_7
b1_2,2,251.11010864716232,b1_1
b2_9,9,254.7144264560289,b4_9
b1_3,3,256.1454885070815,b1_2
b3_6,5,262.1480762604285,b3_5
b2_10,10,270.91544892698545,b2_9
b0_11,11,287.28913067749636,b2_10
b3_7,6,290.3924237194296,b3_6
b2_12,12,291.7978252189285,b0_11
b3_8,7,329.93351277128085,b3_7
b2_13,13,342.9741788992743,b2_12
b0_14,14,343.0628737038519,b2_13
b3_9,8,362.9654596321742,b3_8
b0_15,15,380.19703905844915,b0_14
b3_10,9,381.9706158828388,b3_9
b3_11,10,397.43436004241187,b3_10
b4_17,16,398.1160062767141,b0_15
b0_17,17,401.4477497353069,b4_17
b3_12,11,429.44120980047035,b3_11
b0_18,18,432.58428809299073,b0_17
b1_4,4,469.16791654677513,b1_3
b3_13,12,469.1683661202939,b3_12
