b3_1,1,18.159579618973236,gen
b3_2,2,62.215074290899395,b3_1
b0_2,2,62.89428753232769,b3_1
b3_4,3,126.56278353096153,b3_2
b0_4,0,127.2433167071896,b2_3
b3_5,4,129.29301453290753,b3_4
b3_6,5,261.81029246425766,b3_5
b3_7,6,290.04589681091244,b3_6
b0_11,0,290.73243928564193,b2_10
b3_8,7,329.59019064753465,b3_7
b3_9,8,362.62342165458784,b3_8
b0_14,0,363.30723862960014,b2_13
b3_10,9,381.630381729262,b3_9
b0_15,0,382.31039061025785,b0_14
b3_11,10,397.09206657049214,b3_10
b3_12,11,429.1002245429384,b3_11
b0_17,0,429.78065245841196,b4_17
b3_13,12,468.82462466358913,b3_12
b0_18,0,469.5060326189652,b0_17
